
0(h):00(m):00(s) Thread job sending time --->5_222022_S6_aplas-213.zip
0(h):00(m):00(s) Thread job sending time --->3_222022_S6_aplas-214.zip
0(h):00(m):00(s) Thread job sending time --->4_222022_S6_aplas-215.zip
0(h):00(m):00(s) Thread job sending time --->2_222022_S6_aplas-210.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-211.zip
0(h):02(m):11(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):02(m):10(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):02(m):11(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):15(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-711.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S3_aplas-812.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S4_aplas-315.zip
0(h):00(m):01(s) Thread job sending time --->1_222022_S5_aplas-510.zip
0(h):00(m):01(s) Thread job sending time --->1_222022_S5_aplas-510.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-211.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):00(s) Thread job sending time --->2_222022_S6_aplas-611.zip
0(h):00(m):01(s) Thread job sending time --->1_222022_S6_aplas-614.zip
0(h):00(m):01(s) Thread job sending time --->2_222022_S6_aplas-611.zip
0(h):00(m):00(s) Thread job sending time --->2_222022_S6_aplas-712.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S6_aplas-711.zip
0(h):00(m):00(s) Thread job sending time --->1_222022_S3_aplas-812.zip
0(h):00(m):00(s) Thread job sending time --->2_222022_S3_aplas-814.zip
0(h):00(m):01(s) Thread job sending time --->1_222022_S4_aplas-315.zip
0(h):00(m):01(s) Thread job sending time --->2_222022_S4_aplas-312.zip
